fecha,fuente,url,codigo_postal,descripcion,mancha_blanca,sexo,esterilizado,pct_coincidencia,contacto,estado
2026-07-31,NOTA,,,"NINGUNA coincidencia CONFIRMADA. Las bases de datos (Amivedi/Petradar/Dierenambulance) devolvieron HTTP 403; Facebook requiere login. Filas 'REVISAR' = consultas preparadas para que las abras tu. Filas 'LEAD DEBIL' = pistas de buscador que NO encajan claramente. Nada inventado.",,,,,,LEYENDA
2026-05-17,Marktplaats (snippet buscador),https://www.marktplaats.nl/l/dieren-en-toebehoren/vermiste-en-gevonden-dieren/q/kat+amsterdam/,desconocido,"Gato 'Guusje' desaparecido desde 17-05-2026 (sin descripcion de color/marca en el snippet). No consta negro ni mancha blanca ni zona Overamstel.",desconocido,desconocido,desconocido,10,ver anuncio,LEAD DEBIL
2026-07,Marktplaats (snippet buscador),https://www.marktplaats.nl/l/dieren-en-toebehoren/vermiste-en-gevonden-dieren/q/kat+amsterdam/,~1094 (Indische Buurt),"Gato que 'maulla buscando dueno' en Menadostraat, Amsterdam-Oost (~2,5-3 km). No consta negro ni mancha blanca. Zona distinta a Overamstel.",desconocido,desconocido,desconocido,8,ver anuncio,LEAD DEBIL
,Amivedi VERMIST,https://www.amivedi.nl/dier-zoeken,1096/1097/1091/1114,"REVISAR: filtrar kat + Noord-Holland + Amsterdam; buscar 'zwarte kat'/'zwarte poes' con mancha blanca desde 01-06-2026.",n/d,hembra (buscar),n/d,N/D (revisar),Amivedi Amsterdam 020-6121295,REVISAR
,Amivedi GEVONDEN,https://www.amivedi.nl/gevonden,1096 y contorno,"REVISAR y REGISTRAR tu hallazgo aqui; cruzar con vermist.",n/d,hembra,n/d,N/D (revisar),020-6121295,REVISAR
,Petradar Amsterdam,https://petradar.org/en/lost-and-found-cats/nl/amsterdam,Amsterdam,"REVISAR paginado; filtrar black cat + zona Oost/Overamstel/Duivendrecht.",n/d,hembra,n/d,N/D (revisar),via plataforma,REVISAR
,Dierenbescherming 'Mijn dier is zoek',https://mijndieriszoek.dierenbescherming.nl/gevonden-dieren/katten,Amsterdam,"REVISAR (fuente accesible): gatos gevonden; filtrar por region Amsterdam.",n/d,hembra,n/d,N/D (revisar),via plataforma,REVISAR
,DOA Dierenasiel,https://doa-dierenasiel.nl/dieren/vermist-en-gevonden/,Amsterdam,"REVISAR: listas vermist/gevonden del asilo (entradas jul-2026).",n/d,hembra,n/d,N/D (revisar),via asilo,REVISAR
,SAZ zoekactie/vermist,https://www.saz.amsterdam/zoekactie,Amsterdam,"REVISAR + preguntar si conocen colonia/gata negra en Overamstel/Amstelkwartier.",n/d,hembra,n/d,N/D (revisar),via SAZ,REVISAR
,Marktplaats zwarte kat,https://www.marktplaats.nl/l/dieren-en-toebehoren/vermiste-en-gevonden-dieren/q/zwarte+kat+amsterdam/,Amsterdam,"REVISAR: 'zwarte kat/poes' + 'witte vlek borst' + Amsterdam Oost/Duivendrecht.",n/d,hembra,n/d,N/D (revisar),via anuncio,REVISAR
,Facebook grupo Amsterdam vermist/gevonden katten,https://www.facebook.com/groups/456259327909737/,Amsterdam,"REVISAR (requiere login) + PUBLICAR tu aviso con foto y mancha blanca.",n/d,hembra,n/d,N/D (revisar),via grupo,REVISAR
,Dierenambulance Amsterdam (gevonden),https://www.dierenambulance-amsterdam.nl/en/dienstverlening/huisdier-gevonden/,Amsterdam,"REVISAR/REPORTAR el hallazgo (403 para bots; abre tu).",n/d,hembra,n/d,N/D (revisar),via web,REVISAR
